Horizon,Original_Precision,Filtered_Precision,Original_Recall,Filtered_Recall,Original_F1,Filtered_F1,Method
30d,0.08965122927387079,0.08967173738991192,1.0,1.0,0.1645503200755588,0.16458486407053638,consecutive
60d,0.09149011717363001,0.09173962695089456,0.9747793190416141,0.9117276166456494,0.16727980956502922,0.16670509568826378,consecutive
90d,0.09514008004574043,0.09516184376072287,1.0,1.0,0.17374960843688003,0.17378590078328982,consecutive
30d,0.08965122927387079,0.08965122927387079,1.0,1.0,0.1645503200755588,0.1645503200755588,ema
60d,0.09149011717363001,0.09068038879359634,0.9747793190416141,1.0,0.16727980956502922,0.16628223946319984,ema
90d,0.09514008004574043,0.09514008004574043,1.0,1.0,0.17374960843688003,0.17374960843688003,ema
30d,0.08965122927387079,0.08965122927387079,1.0,1.0,0.1645503200755588,0.1645503200755588,majority
60d,0.09149011717363001,0.09057639524245197,0.9747793190416141,0.9987389659520807,0.16727980956502922,0.16608996539792387,majority
90d,0.09514008004574043,0.09514008004574043,1.0,1.0,0.17374960843688003,0.17374960843688003,majority
30d,0.08965122927387079,0.11020881670533643,1.0,0.1211734693877551,0.1645503200755588,0.11543134872417983,adaptive
60d,0.09149011717363001,0.06916666666666667,0.9747793190416141,0.10466582597730138,0.16727980956502922,0.08329152032112393,adaptive
90d,0.09514008004574043,0.10120845921450151,1.0,0.16105769230769232,0.17374960843688003,0.12430426716141002,adaptive
